bigram,origin,G2,target_freq,target_share
oil production,discovered,27580.183222,10089,0.606492
energy storage,discovered,27433.872659,8308,0.731853
south america,discovered,27148.266443,18446,0.350032
digital transformation,discovered,27117.583372,13628,0.449265
power plant,discovered,26840.952594,11359,0.526391
impact covid,discovered,26819.338015,13512,0.448263
gulf coast,discovered,26439.935641,12194,0.485623
cubic meters,discovered,26370.163927,7287,0.800154
coal fired,discovered,25419.614816,6158,0.901347
gas industry,discovered,24694.978211,5922,0.908979
domestic market,discovered,24284.847185,13861,0.402491
war ukraine,discovered,24173.917107,5480,0.949575
term supply,discovered,23815.197704,5349,0.955861
chinese government,discovered,23802.791764,6239,0.840836
economic slowdown,discovered,23668.300314,6783,0.772551
gdp growth,discovered,23589.191873,10433,0.504912
million barrels,discovered,23567.987362,12088,0.441232
energy market,discovered,23488.680849,6623,0.784809
global trade,discovered,23467.642784,5141,0.972017
russia ukraine,discovered,23403.129935,6290,0.821471
global growth,discovered,23284.910011,6970,0.740308
saudi arabia,discovered,23091.753223,9055,0.566504
fuel oil,discovered,23046.224375,6263,0.812954
oil natural,discovered,22977.303100,5536,0.905463
global market,discovered,22878.263966,10549,0.485726
supply issues,discovered,22805.098865,5564,0.895974
supply agreement,discovered,22385.686121,6480,0.765053
new supply,discovered,22268.515286,8827,0.560587
emerging markets,discovered,22253.053418,21959,0.270558
rising rates,discovered,22159.411311,8767,0.561627
gas power,discovered,22091.286420,5668,0.857359
gas emissions,discovered,21908.711858,5295,0.903121
energy infrastructure,discovered,21565.293918,5436,0.871014
high energy,discovered,21365.289892,5184,0.900156
chain management,discovered,21299.186814,6386,0.739120
economic recovery,discovered,21297.116214,9168,0.517937
current economic,discovered,21270.791943,9530,0.498848
power prices,discovered,21224.737305,6783,0.693771
consumer sentiment,discovered,21051.798310,6570,0.710347
new technologies,discovered,21026.986781,11704,0.411099
cloud computing,discovered,20970.402053,6041,0.768673
terms supply,discovered,20967.160586,5906,0.785581
barrels day,discovered,20682.170849,18057,0.292668
america europe,discovered,20585.695970,11839,0.399953
chain disruption,discovered,20574.447323,4627,0.955005
energy markets,discovered,20573.659977,5732,0.793906
gas liquids,discovered,20491.382203,5252,0.858170
green energy,discovered,20450.512839,5021,0.891196
data analytics,discovered,20354.464263,10313,0.446025
demand china,discovered,20114.632475,5248,0.844409
impact tariffs,discovered,20078.945762,5650,0.786360
gas oil,discovered,19907.332871,5771,0.763966
growth china,discovered,19832.437464,7577,0.581103
shale gas,discovered,19692.035622,4429,0.954937
gas pipeline,discovered,19611.895004,4970,0.866911
economic development,discovered,19531.054255,5452,0.792442
supply growth,discovered,19515.430605,5358,0.805109
security solutions,discovered,19459.631660,4630,0.914839
gas storage,discovered,19337.801313,5180,0.824053
gas fired,discovered,19325.017020,4838,0.876291
carbon emissions,discovered,19324.525742,5265,0.810998
africa middle,discovered,19073.162200,5059,0.831662
south africa,discovered,18908.517598,15790,0.301566
like china,discovered,18899.837412,5638,0.742819
new energy,discovered,18827.785574,6168,0.676835
play important,discovered,18710.301770,5583,0.742618
eastern europe,discovered,18688.601397,13469,0.334850
higher energy,discovered,18585.759869,5740,0.717769
electric vehicle,discovered,18492.583059,6611,0.620460
supply situation,discovered,18403.022766,4583,0.880330
fired power,discovered,18374.231450,4072,0.964700
gas demand,discovered,18243.357701,4062,0.961648
billion cubic,discovered,18238.587308,4436,0.898339
think supply,discovered,18205.021415,4900,0.820358
american market,discovered,17953.192978,8358,0.481452
gas markets,discovered,17825.470916,4366,0.893025
oil demand,discovered,17641.423261,3848,0.974671
customers world,discovered,17615.485318,5308,0.735486
heavy oil,discovered,17478.000532,4457,0.862089
department energy,discovered,17308.302319,4374,0.869064
impact supply,discovered,17257.202121,4060,0.923147
cloud based,discovered,17201.647578,8809,0.441842
energy consumption,discovered,17187.689561,5269,0.723068
steel prices,discovered,17098.860799,7229,0.526895
tight supply,discovered,16989.366238,4339,0.860913
power supply,discovered,16987.878186,5087,0.740035
price volatility,discovered,16956.220066,4702,0.797490
domestic demand,discovered,16952.226887,5281,0.711629
supply market,discovered,16938.333461,4765,0.786563
economic outlook,discovered,16870.799751,5923,0.631719
carbon footprint,discovered,16869.589503,5749,0.650707
monetary policy,discovered,16780.567264,4595,0.807132
security business,discovered,16720.180061,5154,0.719129
regions world,discovered,16711.324521,5489,0.675071
semiconductor industry,discovered,16660.266275,5346,0.690965
supply agreements,discovered,16580.289651,4200,0.867231
energy supply,discovered,16417.745205,3794,0.936097
world leading,discovered,16072.197145,6139,0.581235
countries like,discovered,16001.657046,6613,0.538474
general economic,discovered,15987.588652,5198,0.681973
gas sales,discovered,15718.510762,5263,0.662262
supply coming,discovered,15688.523763,4568,0.760699
commodity price,discovered,15687.388421,8402,0.424880
new gas,discovered,15674.524079,3516,0.956735
wind energy,discovered,15602.662745,4344,0.794440
lower oil,discovered,15496.724151,4573,0.750780
lot uncertainty,discovered,15488.690017,6214,0.554079
fuel cell,discovered,15425.955995,6163,0.556328
global pandemic,discovered,15291.016657,4604,0.736051
particularly europe,discovered,15283.980577,5540,0.612019
economic situation,discovered,15165.640613,6090,0.553586
red sea,discovered,15136.307343,3881,0.857869
europe china,discovered,14975.408070,4721,0.703262
gas sector,discovered,14914.638489,3963,0.830295
security supply,discovered,14817.618567,3144,0.990236
information technology,discovered,14800.185868,6539,0.505410
data protection,discovered,14590.367022,3742,0.857667
supply customers,discovered,14566.233086,3434,0.921632
global financial,discovered,14525.852254,4696,0.685848
impact global,discovered,14524.576514,3649,0.873593
offshore wind,discovered,14508.727636,6486,0.499884
energy sources,discovered,14459.328806,3410,0.921373
macroeconomic conditions,discovered,14383.026144,5209,0.612535
heavy duty,discovered,14192.229045,6783,0.470030
energy solutions,discovered,14155.733113,3942,0.794278
energy management,discovered,14011.204409,4434,0.700585
aerospace defense,discovered,13886.395461,6050,0.512104
europe north,discovered,13784.747976,7251,0.431581
china india,discovered,13779.517729,6562,0.471577
uncertainty market,discovered,13771.357306,3785,0.804292
reduce carbon,discovered,13757.802251,3383,0.890029
permian basin,discovered,13747.908522,5165,0.590758
particularly china,discovered,13745.121804,4310,0.707021
cross border,discovered,13744.558816,8272,0.385246
china market,discovered,13696.472240,6251,0.490351
solar power,discovered,13688.088712,4324,0.701834
increasingly important,discovered,13687.901712,5514,0.551897
higher raw,discovered,13675.412455,6077,0.502688
global energy,discovered,13564.940502,3146,0.933531
north africa,discovered,13555.676289,4187,0.717689
volatility market,discovered,13540.506489,4074,0.736576
environmental impact,discovered,13498.620591,4209,0.710980
government support,discovered,13486.005769,4426,0.675622
stay home,discovered,13399.150365,4352,0.682667
technology development,discovered,13250.816689,5408,0.544996
lower carbon,discovered,13191.033999,3103,0.923237
global leader,discovered,13181.263863,4976,0.587971
data security,discovered,13174.678920,3146,0.912148
electricity prices,discovered,13123.424840,3729,0.778985
china europe,discovered,13120.878079,3584,0.809029
steel industry,discovered,13108.037090,4292,0.677185
supply contracts,discovered,13080.008915,3038,0.932474
think government,discovered,13033.913720,3666,0.786695
high tech,discovered,13032.905204,6202,0.471886
europe asia,discovered,13003.435682,9583,0.329403
wind power,discovered,12999.636416,4376,0.658739
energy demand,discovered,12950.226545,2967,0.942204
higher gas,discovered,12920.449793,3409,0.835744
east asia,discovered,12908.915144,4671,0.613073
asia middle,discovered,12906.596924,3446,0.826577
technology solutions,discovered,12842.818676,5909,0.486698
gas processing,discovered,12806.379256,3978,0.713671
just supply,discovered,12784.336998,3146,0.889454
missile defense,discovered,12707.183519,2936,0.936224
cloud security,discovered,12681.402089,3106,0.893042
chinese market,discovered,12604.526455,6233,0.455795
energy efficient,discovered,12598.157307,4308,0.648502
global oil,discovered,12594.224181,2707,0.983291
bcf day,discovered,12530.414609,3643,0.761815
china china,discovered,12499.858036,3670,0.754523
supply disruptions,discovered,12498.713225,2946,0.921777
fuel prices,discovered,12433.094227,8128,0.360635
chinese economy,discovered,12392.581757,3015,0.898123
india china,discovered,12380.164495,4632,0.593162
energy related,discovered,12256.032391,3768,0.721010
inflation reduction,discovered,12253.854933,2846,0.932503
geopolitical situation,discovered,12247.923490,2700,0.968089
labor shortages,discovered,12239.807270,3858,0.703373
refining margins,discovered,12230.843990,3858,0.702860
china trade,discovered,12210.379086,2584,0.991558
higher oil,discovered,12184.175453,3921,0.688983
technology innovation,discovered,12082.283448,4366,0.613892
market supply,discovered,12070.039171,3187,0.835168
defense spending,discovered,12048.637378,2876,0.912437
european markets,discovered,11980.350823,7334,0.379961
macroeconomic uncertainty,discovered,11980.085864,3080,0.855793
high rates,discovered,11899.823042,5090,0.521089
public cloud,discovered,11878.415426,5117,0.517601
states canada,discovered,11867.615205,3647,0.721321
technologies like,discovered,11863.199973,3297,0.795800
going world,discovered,11811.659667,3517,0.744181
related supply,discovered,11745.279646,2928,0.879543
inflation rates,discovered,11719.178898,3526,0.736578
base oil,discovered,11688.689771,3257,0.793809
overall economic,discovered,11674.579552,4431,0.584873
demand europe,discovered,11647.341088,3572,0.722784
water supply,discovered,11572.405059,2724,0.922764
material cost,discovered,11571.024740,9225,0.311382
important area,discovered,11569.139034,3865,0.663747
markets north,discovered,11456.037636,3351,0.757288
global footprint,discovered,11412.741019,5869,0.440219
industry supply,discovered,11391.513316,2747,0.904809
inflation rate,discovered,11378.648729,3980,0.634061
met coal,discovered,11356.937450,4058,0.620774
local governments,discovered,11355.456955,3355,0.749888
coal prices,discovered,11281.686615,4498,0.557442
gas distribution,discovered,11246.906434,3930,0.634690
market uncertainty,discovered,11243.672873,3267,0.762249
higher inflation,discovered,11206.148246,3844,0.646485
east coast,discovered,11177.365400,8154,0.331868
western canada,discovered,11150.894862,5601,0.449482
south korea,discovered,11120.666274,6202,0.410429
supply business,discovered,11116.826208,3102,0.792742
world class,discovered,11102.878430,12175,0.253963
advanced technology,discovered,11100.101767,4573,0.540097
energy cost,discovered,11067.460972,4791,0.515217
gold price,discovered,11035.223537,6225,0.406491
greater china,discovered,11004.729547,4691,0.522791
overall supply,discovered,10992.653845,2855,0.847936
focus energy,discovered,10973.303889,2558,0.929844
demand energy,discovered,10920.381928,2475,0.949731
oil companies,discovered,10909.360321,4661,0.521656
cloud infrastructure,discovered,10896.350194,3203,0.753647
political situation,discovered,10848.593146,2586,0.913458
oil sands,discovered,10825.834722,5180,0.469543
supply base,discovered,10805.705303,4268,0.562541
demand north,discovered,10769.346455,2935,0.810773
advanced materials,discovered,10718.714986,3895,0.610502
challenging macroeconomic,discovered,10682.814855,3208,0.737980
material price,discovered,10679.253283,4954,0.483034
year supply,discovered,10667.924145,3309,0.714687
material supply,discovered,10665.707160,2618,0.891386
alternative energy,discovered,10624.417518,3168,0.743139
ai data,discovered,10621.193193,2907,0.807500
given supply,discovered,10609.300740,2682,0.868805
energy price,discovered,10586.860250,2791,0.836380
political environment,discovered,10578.280347,2786,0.837139
supply contract,discovered,10546.720076,2409,0.944336
especially china,discovered,10538.558241,3443,0.678691
prices raw,discovered,10530.708919,2906,0.801213
lithium ion,discovered,10487.162577,3820,0.609056
green hydrogen,discovered,10482.347662,3768,0.617098
macro trends,discovered,10466.608791,3823,0.607404
situation china,discovered,10457.283455,2554,0.895198
high oil,discovered,10409.429624,2620,0.872170
product supply,discovered,10402.646134,3039,0.758234
countries world,discovered,10398.102849,4195,0.551104
demand oil,discovered,10384.943311,2348,0.951378
gas infrastructure,discovered,10378.451298,2435,0.925152
high power,discovered,10354.433961,4136,0.556438
american markets,discovered,10353.715399,3386,0.678014
network security,discovered,10288.796433,2676,0.846835
impacts covid,discovered,10269.161219,3655,0.623188
balance supply,discovered,10250.887450,2442,0.913922
growing global,discovered,10245.795248,2860,0.792463
british columbia,discovered,10207.623242,4067,0.557811
electric power,discovered,10111.568520,3644,0.615541
supply issue,discovered,10047.351935,2494,0.882832
technology company,discovered,10018.302530,4342,0.514638
security services,discovered,9961.101934,2977,0.741469
east north,discovered,9939.647917,2645,0.829154
level uncertainty,discovered,9934.996063,3155,0.698163
covid related,discovered,9923.007438,7589,0.320685
increase energy,discovered,9913.593524,2660,0.822765
current macroeconomic,discovered,9896.344570,2777,0.788472
new government,discovered,9871.139409,3741,0.585721
global gdp,discovered,9821.780170,2433,0.884406
macro uncertainty,discovered,9815.294553,2973,0.731725
european countries,discovered,9812.091831,5934,0.383730
expect supply,discovered,9806.145266,2443,0.880043
low oil,discovered,9793.392328,2917,0.743943
government customers,discovered,9741.347887,2811,0.767404
palm oil,discovered,9720.821259,2583,0.830280
security market,discovered,9719.622247,2638,0.813946
important long,discovered,9695.900657,3261,0.659321
zero carbon,discovered,9689.832657,2314,0.912101
energy industry,discovered,9654.962685,2816,0.759439
energy generation,discovered,9645.888347,2337,0.901273
gas transmission,discovered,9644.028254,2633,0.809407
ukraine war,discovered,9608.521813,2124,0.966333
inflationary pressure,discovered,9582.341093,4147,0.515347
china going,discovered,9572.784181,3198,0.663761
input costs,discovered,9537.401368,9062,0.277049
carbon capture,discovered,9520.970944,4224,0.503456
various countries,discovered,9498.187530,3027,0.695702
asia pacific,discovered,9488.134723,18313,0.191954
export markets,discovered,9465.169805,4131,0.511262
certain countries,discovered,9439.819574,3244,0.645315
fossil fuel,discovered,9439.797555,2336,0.885184
steel demand,discovered,9395.511391,2378,0.867883
energy projects,discovered,9365.194991,2924,0.710053
domestic production,discovered,9363.769158,2666,0.777486
gas pricing,discovered,9352.609030,2531,0.816188
energy crisis,discovered,9336.500033,2186,0.926664
ukraine russia,discovered,9329.910900,2277,0.895751
covid pandemic,discovered,9309.353723,4182,0.497620
ongoing supply,discovered,9304.033399,2260,0.899324
europe united,discovered,9303.839178,3176,0.649622
supply shortages,discovered,9300.189679,2318,0.879696
inflation supply,discovered,9293.110339,2201,0.918231
oil market,discovered,9285.821358,2776,0.741255
higher rates,discovered,9266.235388,10189,0.253559
energy policy,discovered,9256.742583,2104,0.947748
energy mix,discovered,9214.088968,2041,0.965012
hybrid cloud,discovered,9210.050755,3273,0.624142
countries including,discovered,9168.224432,2631,0.771554
freight rates,discovered,9125.082633,4914,0.422892
technology companies,discovered,9121.308988,3751,0.541036
business china,discovered,9108.354758,4789,0.431753
gas electricity,discovered,9103.056672,2401,0.836003
inflationary environment,discovered,9099.409184,5035,0.413179
latin america,discovered,9097.556583,21867,0.176142
political uncertainty,discovered,9094.097955,2133,0.925380
renewable natural,discovered,9084.823082,1967,0.979094
gas natural,discovered,9079.850716,2378,0.841472
far east,discovered,9070.768531,4789,0.430201
lower gas,discovered,9068.224796,2645,0.759403
free trade,discovered,9060.078815,2156,0.914722
gas costs,discovered,9044.138740,2724,0.735818
trade policy,discovered,9041.474897,1945,0.982820
power purchase,discovered,8991.215745,2671,0.745881
price oil,discovered,8986.971368,4023,0.499255
economic downturn,discovered,8949.547791,5084,0.404101
gas volumes,discovered,8944.651019,2906,0.682480
supply going,discovered,8940.322133,2308,0.852604
gas transportation,discovered,8923.508042,2107,0.920489
entire supply,discovered,8896.144958,2178,0.893355
export business,discovered,8893.710685,3246,0.607865
power demand,discovered,8868.507329,2436,0.804757
000 cubic,discovered,8853.001538,2668,0.735391
coal gas,discovered,8847.186151,2319,0.840827
solar energy,discovered,8823.344423,2955,0.662111
safety security,discovered,8818.587680,2632,0.742454
steel production,discovered,8813.489971,3991,0.493936
terms energy,discovered,8804.096120,2472,0.788014
renewable power,discovered,8790.312431,2728,0.714323
government spending,discovered,8744.357097,2950,0.657308
coking coal,discovered,8730.069793,4124,0.475060
trade flows,discovered,8724.100070,2021,0.934350
broader economic,discovered,8714.047748,2328,0.826118
coming china,discovered,8681.064588,3462,0.557308
government shutdown,discovered,8678.633283,2733,0.704019
given uncertainty,discovered,8643.558335,4061,0.477428
including china,discovered,8641.802097,2490,0.768519
energy resources,discovered,8627.260579,2755,0.694304
impacted covid,discovered,8625.867133,4680,0.420183
energy needs,discovered,8625.703493,2000,0.933707
impacted supply,discovered,8604.622579,1918,0.960922
increase supply,discovered,8591.094406,2631,0.723796
multi cloud,discovered,8577.978338,2629,0.723246
power sector,discovered,8574.382327,2769,0.686586
lower energy,discovered,8572.610024,2972,0.639690
production china,discovered,8558.652784,2571,0.737733
wind solar,discovered,8513.992838,3354,0.563982
significant supply,discovered,8499.732854,1948,0.941973
tariff situation,discovered,8458.905471,2239,0.833271
thermal coal,discovered,8438.121649,3100,0.603935
uncertainty remains,discovered,8434.173944,1983,0.923614
increase gas,discovered,8430.788938,2128,0.869992
drilling activity,discovered,8430.112115,4725,0.408702
customers supply,discovered,8423.886786,2135,0.866829
global macroeconomic,discovered,8401.061916,1914,0.946120
government programs,discovered,8398.046736,2596,0.717127
manage supply,discovered,8386.168491,2234,0.828328
defense business,discovered,8385.643228,3451,0.540655
increase oil,discovered,8377.406438,2310,0.801805
supply new,discovered,8370.318110,2370,0.781662
lot supply,discovered,8367.797773,2702,0.686658
continue supply,discovered,8347.062720,2176,0.845049
national oil,discovered,8326.407577,2079,0.878327
states europe,discovered,8289.506458,3322,0.554684
world today,discovered,8274.430073,2996,0.612679
energy future,discovered,8272.981203,1918,0.933788
gas companies,discovered,8270.202723,2329,0.785762
steel aluminum,discovered,8251.690738,2168,0.839009
zero trust,discovered,8228.446991,2111,0.857433
generative ai,discovered,8226.851468,5164,0.372395
global manufacturing,discovered,8217.316126,2634,0.691702
seeing supply,discovered,8213.925424,2140,0.845516
defense budget,discovered,8203.962921,2155,0.839174
gas customers,discovered,8193.167423,2171,0.832439
advanced technologies,discovered,8191.654951,3007,0.604422
cost energy,discovered,8186.038640,2935,0.618676
sulfur fuel,discovered,8181.462369,1916,0.926499
global basis,discovered,8180.145182,6230,0.321648
macroeconomic headwinds,discovered,8178.160094,2423,0.747840
feet gas,discovered,8163.908644,2480,0.729626
geopolitical environment,discovered,8160.503530,1823,0.959474
impact china,discovered,8158.402599,2068,0.866723
macro economic,discovered,8153.603528,3387,0.535833
cloud data,discovered,8128.533280,2599,0.693436
supply shortage,discovered,8121.603173,1871,0.938315
gas gas,discovered,8114.992415,1928,0.915914
electricity gas,discovered,8100.877787,1952,0.905380
reduce emissions,discovered,8094.639284,2235,0.800788
dry gas,discovered,8083.322194,3034,0.591308
renewable generation,discovered,8077.994300,2028,0.874138
energy energy,discovered,8061.133228,1843,0.943676
high volatility,discovered,8052.992484,2465,0.724148
overall global,discovered,8006.059325,2578,0.688568
export market,discovered,7998.535897,4466,0.410026
new technology,discovered,7989.692338,9700,0.239773
increase raw,discovered,7967.306860,3156,0.560967
supply challenges,discovered,7963.558438,2247,0.784293
markets china,discovered,7960.437981,2859,0.617628
power grid,discovered,7953.410137,2797,0.630665
america middle,discovered,7930.271743,2230,0.786874
demand data,discovered,7926.665164,2437,0.721006
manufacturing supply,discovered,7916.520349,2788,0.629772
based technology,discovered,7913.999656,2894,0.606709
carbon intensity,discovered,7880.704551,2422,0.721263
gas company,discovered,7867.182017,2312,0.753831
uncertainty related,discovered,7866.201792,2074,0.836290
gas day,discovered,7842.344268,2153,0.805161
demand power,discovered,7832.284357,1991,0.864525
macro level,discovered,7823.959469,3630,0.482970
ai technology,discovered,7820.955723,2612,0.663955
economic political,discovered,7819.864991,1896,0.900713
amp gas,discovered,7818.194683,3429,0.508905
government policy,discovered,7802.434284,2389,0.723939
markets world,discovered,7790.784787,4565,0.393806
caused covid,discovered,7787.712488,2226,0.774530
macro headwinds,discovered,7787.118307,2845,0.607257
international markets,discovered,7784.804248,11754,0.214329
energy production,discovered,7780.349416,2326,0.741236
result covid,discovered,7764.533019,3149,0.548320
security products,discovered,7760.922887,2447,0.703161
crude prices,discovered,7724.568320,2735,0.626432
pipeline capacity,discovered,7698.471907,2213,0.770275
global environment,discovered,7696.114249,2051,0.828018
uncertainty global,discovered,7681.287301,1714,0.960224
continued supply,discovered,7680.921734,1919,0.877859
domestic supply,discovered,7676.123173,1681,0.972238
post covid,discovered,7661.510105,5864,0.320507
federal agencies,discovered,7661.473850,1853,0.902582
world economy,discovered,7647.751873,2662,0.637147
chain team,discovered,7640.385367,2221,0.761921
challenges supply,discovered,7629.450219,1879,0.888836
solar wind,discovered,7626.767047,2386,0.708643
leading global,discovered,7624.706533,3518,0.485442
high gas,discovered,7609.048815,1822,0.910090
key raw,discovered,7596.643916,2108,0.796975
oil amp,discovered,7571.535413,3392,0.498897
german government,discovered,7563.302901,2030,0.822528
base metals,discovered,7547.088211,2135,0.782338
south wales,discovered,7540.005239,4451,0.391400
precious metals,discovered,7531.515775,3234,0.519184
world trade,discovered,7516.632829,1964,0.843280
outside united,discovered,7477.199699,5234,0.342226
price gas,discovered,7476.383004,2276,0.728087
geopolitical events,discovered,7471.227792,1638,0.971530
new south,discovered,7465.365797,4485,0.385806
global production,discovered,7414.350961,2155,0.762023
gas pipelines,discovered,7376.839748,1921,0.845883
customers suppliers,discovered,7371.161214,3547,0.467141
current supply,discovered,7349.191331,2004,0.810352
chinese customers,discovered,7343.983453,2355,0.691427
economic uncertainties,discovered,7337.861717,2000,0.810701
global customers,discovered,7330.696470,2802,0.580846
steel products,discovered,7323.925570,2575,0.630818
power market,discovered,7315.985867,2890,0.562476
chain logistics,discovered,7296.560414,2237,0.723012
thermal power,discovered,7292.171368,2217,0.729037
domestic gas,discovered,7288.108477,1601,0.970303
gas reserves,discovered,7264.768471,1803,0.882958
continued uncertainty,discovered,7257.767407,2203,0.730196
inventory supply,discovered,7243.452143,2079,0.771429
related covid,discovered,7243.247038,4009,0.413086
economic headwinds,discovered,7227.921446,2423,0.661480
emerging market,discovered,7190.877212,6173,0.295996
asian countries,discovered,7183.704044,2474,0.643935
macroeconomic factors,discovered,7178.025764,2603,0.611751
invasion ukraine,discovered,7176.408079,1586,0.966484
central government,discovered,7165.755543,2725,0.583762
gas projects,discovered,7162.987429,1997,0.793405
information security,discovered,7155.673469,1788,0.877761
disruption supply,discovered,7151.322360,1664,0.931170
going china,discovered,7142.478247,2735,0.579818
supply constrained,discovered,7138.483612,2630,0.602244
technology infrastructure,discovered,7110.506252,3045,0.520513
geopolitical issues,discovered,7108.606262,1699,0.911481
business confidence,discovered,7107.029242,2271,0.693859
exports china,discovered,7095.980303,1716,0.902683
important driver,discovered,7078.301881,3428,0.464436
challenging macro,discovered,7063.665852,2859,0.549385
gas drilling,discovered,7063.400434,1898,0.821645
market sentiment,discovered,7051.980748,2521,0.620477
international trade,discovered,7031.893254,2038,0.764154
cost supply,discovered,7003.124835,2137,0.726377
security solution,discovered,6998.034923,1663,0.915749
rich gas,discovered,6989.475398,1868,0.825818
cost inflation,discovered,6981.336292,9887,0.221181
nuclear energy,discovered,6980.847769,1754,0.873506
fuel cells,discovered,6974.020320,2525,0.612715
government announced,discovered,6956.887101,2115,0.729059
export demand,discovered,6951.703229,1888,0.813442
mainland china,discovered,6918.268010,4526,0.360436
