bigram,origin,G2,target_freq,target_share
big data,discovered,33176.389213,10069,0.730273
cetera et,discovered,32913.168214,10488,0.695768
economic environment,discovered,32648.861779,21433,0.359451
net zero,discovered,32303.485186,9283,0.770501
european union,discovered,32061.908659,9156,0.775210
world largest,discovered,31729.594331,10606,0.663373
demand balance,discovered,31475.806584,7128,0.950273
infrastructure projects,discovered,31457.002813,8918,0.780706
europe middle,discovered,31281.016410,9079,0.763069
support customers,discovered,31132.158571,11453,0.603107
outside china,discovered,30701.054592,8859,0.767412
parts world,discovered,30687.374010,12239,0.557255
homeland security,discovered,30274.262921,6770,0.958788
gas business,discovered,30158.296002,9684,0.690481
high inflation,discovered,29858.617116,7689,0.854523
nuclear power,discovered,29741.415172,7115,0.910778
environment remains,discovered,29648.725063,8786,0.747681
term contracts,discovered,29523.002035,15379,0.435259
department defense,discovered,29501.515549,7265,0.888902
southeast asia,discovered,29456.119085,13244,0.497203
energy sector,discovered,29259.759826,7875,0.820398
high performance,discovered,29011.010612,15429,0.427467
economic activity,discovered,28525.880433,10009,0.632081
greenhouse gas,discovered,28310.356317,7604,0.821965
global markets,discovered,28091.885675,10080,0.618177
recently announced,discovered,27776.945702,18220,0.359681
government agencies,discovered,27583.606530,6865,0.880806
oil production,discovered,27580.183222,10089,0.606492
energy storage,discovered,27433.872659,8308,0.731853
consumer demand,discovered,27235.435238,13004,0.470444
south america,discovered,27148.266443,18446,0.350032
digital transformation,discovered,27117.583372,13628,0.449265
medium long,discovered,27111.538289,12325,0.492134
power plant,discovered,26840.952594,11359,0.526391
impact covid,discovered,26819.338015,13512,0.448263
gulf coast,discovered,26439.935641,12194,0.485623
cubic meters,discovered,26370.163927,7287,0.800154
coal fired,discovered,25419.614816,6158,0.901347
gas industry,discovered,24694.978211,5922,0.908979
help customers,discovered,24630.083032,11335,0.486585
domestic market,discovered,24284.847185,13861,0.402491
public sector,discovered,24258.561974,12753,0.431793
products services,discovered,24186.497782,20420,0.299326
term growth,discovered,24184.945248,26534,0.253877
war ukraine,discovered,24173.917107,5480,0.949575
public safety,discovered,24151.474406,6731,0.793656
serve customers,discovered,23953.488475,12108,0.446955
needs customers,discovered,23850.884506,8917,0.593596
term supply,discovered,23815.197704,5349,0.955861
chinese government,discovered,23802.791764,6239,0.840836
economic slowdown,discovered,23668.300314,6783,0.772551
positioned capitalize,discovered,23620.577780,7424,0.705368
gdp growth,discovered,23589.191873,10433,0.504912
million barrels,discovered,23567.987362,12088,0.441232
energy market,discovered,23488.680849,6623,0.784809
global trade,discovered,23467.642784,5141,0.972017
uniquely positioned,discovered,23448.414612,9302,0.560159
russia ukraine,discovered,23403.129935,6290,0.821471
term demand,discovered,23367.591441,6417,0.804942
direct impact,discovered,23362.837189,7387,0.701187
global growth,discovered,23284.910011,6970,0.740308
saudi arabia,discovered,23091.753223,9055,0.566504
higher demand,discovered,23084.221145,8085,0.633224
fuel oil,discovered,23046.224375,6263,0.812954
oil natural,discovered,22977.303100,5536,0.905463
global market,discovered,22878.263966,10549,0.485726
high demand,discovered,22825.711116,10286,0.496165
supply issues,discovered,22805.098865,5564,0.895974
negatively impacted,discovered,22550.159819,19683,0.292714
price environment,discovered,22520.333061,10393,0.485337
supply agreement,discovered,22385.686121,6480,0.765053
term outlook,discovered,22366.850954,11634,0.435828
new supply,discovered,22268.515286,8827,0.560587
emerging markets,discovered,22253.053418,21959,0.270558
rising rates,discovered,22159.411311,8767,0.561627
gas power,discovered,22091.286420,5668,0.857359
production capacity,discovered,22054.507993,12554,0.403406
gas emissions,discovered,21908.711858,5295,0.903121
short term,discovered,21583.504646,62890,0.164730
energy infrastructure,discovered,21565.293918,5436,0.871014
high energy,discovered,21365.289892,5184,0.900156
chain management,discovered,21299.186814,6386,0.739120
economic recovery,discovered,21297.116214,9168,0.517937
lower demand,discovered,21276.257800,8650,0.547018
current economic,discovered,21270.791943,9530,0.498848
power prices,discovered,21224.737305,6783,0.693771
provide customers,discovered,21183.767528,8403,0.560200
consumer sentiment,discovered,21051.798310,6570,0.710347
new technologies,discovered,21026.986781,11704,0.411099
public health,discovered,20993.615624,6365,0.731021
manufacturing facility,discovered,20992.155719,9398,0.499203
cloud computing,discovered,20970.402053,6041,0.768673
terms supply,discovered,20967.160586,5906,0.785581
barrels day,discovered,20682.170849,18057,0.292668
america europe,discovered,20585.695970,11839,0.399953
chain disruption,discovered,20574.447323,4627,0.955005
energy markets,discovered,20573.659977,5732,0.793906
markets including,discovered,20496.066209,7891,0.576743
gas liquids,discovered,20491.382203,5252,0.858170
green energy,discovered,20450.512839,5021,0.891196
higher prices,discovered,20382.316499,11687,0.400954
data analytics,discovered,20354.464263,10313,0.446025
solutions customers,discovered,20315.285939,7734,0.583126
metric tons,discovered,20235.130828,8161,0.551270
impact demand,discovered,20222.703501,5208,0.854471
demand china,discovered,20114.632475,5248,0.844409
impact tariffs,discovered,20078.945762,5650,0.786360
high prices,discovered,20072.170297,5829,0.762659
infrastructure business,discovered,19918.687883,6576,0.671637
gas oil,discovered,19907.332871,5771,0.763966
public private,discovered,19887.779953,7207,0.612163
growth china,discovered,19832.437464,7577,0.581103
shale gas,discovered,19692.035622,4429,0.954937
gas pipeline,discovered,19611.895004,4970,0.866911
economic development,discovered,19531.054255,5452,0.792442
supply growth,discovered,19515.430605,5358,0.805109
remain strong,discovered,19471.647837,14405,0.328476
security solutions,discovered,19459.631660,4630,0.914839
vehicle production,discovered,19450.358897,6878,0.627211
infrastructure support,discovered,19373.195854,5910,0.726580
longer term,discovered,19340.526703,47018,0.175402
gas storage,discovered,19337.801313,5180,0.824053
gas fired,discovered,19325.017020,4838,0.876291
carbon emissions,discovered,19324.525742,5265,0.810998
leading provider,discovered,19114.580624,6261,0.676938
africa middle,discovered,19073.162200,5059,0.831662
market conditions,discovered,19024.373490,33976,0.198417
south africa,discovered,18908.517598,15790,0.301566
like china,discovered,18899.837412,5638,0.742819
meet growing,discovered,18836.237012,5166,0.805928
new energy,discovered,18827.785574,6168,0.676835
operating environment,discovered,18795.364289,12026,0.366769
critical role,discovered,18758.069876,4608,0.890779
new zealand,discovered,18735.996568,16538,0.290553
play important,discovered,18710.301770,5583,0.742618
eastern europe,discovered,18688.601397,13469,0.334850
new administration,discovered,18684.785011,5284,0.782583
higher energy,discovered,18585.759869,5740,0.717769
remains positive,discovered,18513.093890,5522,0.742903
electric vehicle,discovered,18492.583059,6611,0.620460
supply situation,discovered,18403.022766,4583,0.880330
fired power,discovered,18374.231450,4072,0.964700
markets remain,discovered,18347.094972,6657,0.611407
industrial customers,discovered,18300.225157,5718,0.709517
key markets,discovered,18290.083665,12362,0.351453
gas demand,discovered,18243.357701,4062,0.961648
billion cubic,discovered,18238.587308,4436,0.898339
think supply,discovered,18205.021415,4900,0.820358
financial markets,discovered,18164.288071,8538,0.477223
risk management,discovered,17982.670829,15079,0.300720
american market,discovered,17953.192978,8358,0.481452
positioned benefit,discovered,17920.210908,6020,0.660088
gas markets,discovered,17825.470916,4366,0.893025
oil demand,discovered,17641.423261,3848,0.974671
customers world,discovered,17615.485318,5308,0.735486
health care,discovered,17569.268800,25292,0.219377
law enforcement,discovered,17511.308550,4919,0.787670
heavy oil,discovered,17478.000532,4457,0.862089
demand remains,discovered,17454.242356,6518,0.594274
areas like,discovered,17428.673140,10172,0.395090
internet things,discovered,17366.669415,4751,0.807856
service providers,discovered,17355.064197,12190,0.341342
business environment,discovered,17334.868475,10327,0.388467
department energy,discovered,17308.302319,4374,0.869064
impact supply,discovered,17257.202121,4060,0.923147
automotive market,discovered,17252.546008,6050,0.632448
cloud based,discovered,17201.647578,8809,0.441842
end market,discovered,17199.267184,19711,0.247601
energy consumption,discovered,17187.689561,5269,0.723068
real time,discovered,17131.670968,15832,0.281994
health safety,discovered,17106.972708,8068,0.475764
steel prices,discovered,17098.860799,7229,0.526895
markets like,discovered,17080.231884,11629,0.349492
state local,discovered,17058.394657,7007,0.541625
tight supply,discovered,16989.366238,4339,0.860913
power supply,discovered,16987.878186,5087,0.740035
air force,discovered,16980.481646,6208,0.606843
price volatility,discovered,16956.220066,4702,0.797490
domestic demand,discovered,16952.226887,5281,0.711629
supply market,discovered,16938.333461,4765,0.786563
economic outlook,discovered,16870.799751,5923,0.631719
carbon footprint,discovered,16869.589503,5749,0.650707
monetary policy,discovered,16780.567264,4595,0.807132
private sector,discovered,16768.612045,8350,0.452967
security business,discovered,16720.180061,5154,0.719129
regions world,discovered,16711.324521,5489,0.675071
semiconductor industry,discovered,16660.266275,5346,0.690965
demand environment,discovered,16584.096779,9938,0.386602
supply agreements,discovered,16580.289651,4200,0.867231
demand dynamics,discovered,16497.575803,4305,0.844283
cutting edge,discovered,16440.368829,6804,0.537738
energy supply,discovered,16417.745205,3794,0.936097
continue monitor,discovered,16389.357047,11036,0.352464
positioned advantage,discovered,16076.722709,6413,0.557168
world leading,discovered,16072.197145,6139,0.581235
recent announcement,discovered,16023.256212,5228,0.679579
countries like,discovered,16001.657046,6613,0.538474
general economic,discovered,15987.588652,5198,0.681973
increased focus,discovered,15956.796000,6746,0.526908
believe positioned,discovered,15889.080902,10188,0.366159
consumer spending,discovered,15880.411656,7844,0.456259
demand new,discovered,15757.627870,6837,0.514099
gas sales,discovered,15718.510762,5263,0.662262
demand customers,discovered,15696.961928,6019,0.579028
supply coming,discovered,15688.523763,4568,0.760699
commodity price,discovered,15687.388421,8402,0.424880
new gas,discovered,15674.524079,3516,0.956735
remains challenging,discovered,15657.939640,5372,0.646372
wind energy,discovered,15602.662745,4344,0.794440
meet needs,discovered,15550.474671,8365,0.423287
rapidly growing,discovered,15505.206512,6701,0.516017
lower oil,discovered,15496.724151,4573,0.750780
lot uncertainty,discovered,15488.690017,6214,0.554079
fuel cell,discovered,15425.955995,6163,0.556328
000 metric,discovered,15383.998255,5466,0.624258
global pandemic,discovered,15291.016657,4604,0.736051
particularly europe,discovered,15283.980577,5540,0.612019
economic situation,discovered,15165.640613,6090,0.553586
looking ahead,discovered,15148.420498,18782,0.237036
red sea,discovered,15136.307343,3881,0.857869
unique position,discovered,15083.140706,6045,0.554638
environment continues,discovered,15079.340396,5356,0.624461
meet demand,discovered,14996.946995,7778,0.436942
europe china,discovered,14975.408070,4721,0.703262
meet customer,discovered,14966.488255,5893,0.564247
gas sector,discovered,14914.638489,3963,0.830295
security supply,discovered,14817.618567,3144,0.990236
information technology,discovered,14800.185868,6539,0.505410
business continuity,discovered,14692.685620,4585,0.710412
data protection,discovered,14590.367022,3742,0.857667
supply customers,discovered,14566.233086,3434,0.921632
global financial,discovered,14525.852254,4696,0.685848
impact global,discovered,14524.576514,3649,0.873593
offshore wind,discovered,14508.727636,6486,0.499884
innovative solutions,discovered,14473.087008,5248,0.611798
energy sources,discovered,14459.328806,3410,0.921373
fixed price,discovered,14451.129779,8591,0.389138
macroeconomic conditions,discovered,14383.026144,5209,0.612535
low risk,discovered,14294.860910,7453,0.434932
risk business,discovered,14276.508659,4660,0.679300
playing field,discovered,14240.970332,5325,0.593513
demand high,discovered,14213.165155,6004,0.527314
heavy duty,discovered,14192.229045,6783,0.470030
transmission distribution,discovered,14175.857659,4069,0.771374
energy solutions,discovered,14155.733113,3942,0.794278
term contract,discovered,14118.981207,6859,0.463133
factors including,discovered,14063.428294,7482,0.427347
weather events,discovered,14011.705373,4121,0.753244
energy management,discovered,14011.204409,4434,0.700585
demand continues,discovered,13920.927755,5850,0.529939
aerospace defense,discovered,13886.395461,6050,0.512104
consumer behavior,discovered,13871.285620,6339,0.489763
enterprise customers,discovered,13843.354597,7566,0.417550
weak demand,discovered,13838.044251,4620,0.664175
price increase,discovered,13832.723353,23555,0.202653
prices continue,discovered,13829.451346,5409,0.567934
key role,discovered,13823.562173,4872,0.629295
continue face,discovered,13810.526386,4929,0.621485
europe north,discovered,13784.747976,7251,0.431581
china india,discovered,13779.517729,6562,0.471577
uncertainty market,discovered,13771.357306,3785,0.804292
reduce carbon,discovered,13757.802251,3383,0.890029
permian basin,discovered,13747.908522,5165,0.590758
particularly china,discovered,13745.121804,4310,0.707021
cross border,discovered,13744.558816,8272,0.385246
solutions business,discovered,13733.469037,8991,0.360231
china market,discovered,13696.472240,6251,0.490351
solar power,discovered,13688.088712,4324,0.701834
increasingly important,discovered,13687.901712,5514,0.551897
external environment,discovered,13675.652309,5001,0.606697
higher raw,discovered,13675.412455,6077,0.502688
role play,discovered,13673.734024,4568,0.663761
auto industry,discovered,13660.740469,4507,0.672085
services customers,discovered,13649.624851,6243,0.489378
global energy,discovered,13564.940502,3146,0.933531
leadership position,discovered,13562.548785,11387,0.300464
north africa,discovered,13555.676289,4187,0.717689
volatility market,discovered,13540.506489,4074,0.736576
outlook remains,discovered,13535.423928,4692,0.639760
environmental impact,discovered,13498.620591,4209,0.710980
light vehicle,discovered,13494.143282,5855,0.514093
government support,discovered,13486.005769,4426,0.675622
growing markets,discovered,13482.176379,5347,0.560306
stay home,discovered,13399.150365,4352,0.682667
remains uncertain,discovered,13379.724141,3777,0.783935
cost effective,discovered,13347.107743,11219,0.300230
remain cautious,discovered,13328.405895,5773,0.514941
prices remain,discovered,13270.010207,4975,0.591980
markets continue,discovered,13256.973998,8121,0.379752
technology development,discovered,13250.816689,5408,0.544996
combined cycle,discovered,13227.344354,3667,0.797694
negative impact,discovered,13221.704561,24542,0.195142
lower carbon,discovered,13191.033999,3103,0.923237
global leader,discovered,13181.263863,4976,0.587971
data security,discovered,13174.678920,3146,0.912148
long haul,discovered,13160.554979,8572,0.361673
support services,discovered,13150.865129,5909,0.497516
electricity prices,discovered,13123.424840,3729,0.778985
china europe,discovered,13120.878079,3584,0.809029
steel industry,discovered,13108.037090,4292,0.677185
level playing,discovered,13089.215368,3849,0.753376
supply contracts,discovered,13080.008915,3038,0.932474
think government,discovered,13033.913720,3666,0.786695
high tech,discovered,13032.905204,6202,0.471886
demand fundamentals,discovered,13029.281489,3063,0.923703
term impact,discovered,13020.337744,6554,0.448628
europe asia,discovered,13003.435682,9583,0.329403
wind power,discovered,12999.636416,4376,0.658739
reduction act,discovered,12978.357062,3004,0.934952
energy demand,discovered,12950.226545,2967,0.942204
higher gas,discovered,12920.449793,3409,0.835744
east asia,discovered,12908.915144,4671,0.613073
asia middle,discovered,12906.596924,3446,0.826577
industrial markets,discovered,12861.739896,5471,0.523841
current situation,discovered,12852.293726,7540,0.393405
central banks,discovered,12845.132010,3772,0.754400
technology solutions,discovered,12842.818676,5909,0.486698
gas processing,discovered,12806.379256,3978,0.713671
just supply,discovered,12784.336998,3146,0.889454
continue support,discovered,12740.167923,8216,0.364508
prices increased,discovered,12735.015242,5832,0.488811
missile defense,discovered,12707.183519,2936,0.936224
weather conditions,discovered,12699.567759,7076,0.410751
service provider,discovered,12693.094166,10298,0.307614
increase demand,discovered,12683.871749,6941,0.417102
cloud security,discovered,12681.402089,3106,0.893042
conditions remain,discovered,12618.429013,4630,0.604675
chinese market,discovered,12604.526455,6233,0.455795
energy efficient,discovered,12598.157307,4308,0.648502
global oil,discovered,12594.224181,2707,0.983291
significant challenges,discovered,12566.334895,3585,0.775974
solutions help,discovered,12553.121809,4014,0.693384
bcf day,discovered,12530.414609,3643,0.761815
competitive advantage,discovered,12522.870116,14837,0.243022
china china,discovered,12499.858036,3670,0.754523
supply disruptions,discovered,12498.713225,2946,0.921777
future growth,discovered,12454.972827,20818,0.204365
fuel prices,discovered,12433.094227,8128,0.360635
production facilities,discovered,12417.595978,5378,0.514986
chinese economy,discovered,12392.581757,3015,0.898123
india china,discovered,12380.164495,4632,0.593162
growth opportunities,discovered,12375.277623,22702,0.196130
high growth,discovered,12356.742816,13178,0.258144
demand markets,discovered,12283.871786,3661,0.743501
energy related,discovered,12256.032391,3768,0.721010
inflation reduction,discovered,12253.854933,2846,0.932503
geopolitical situation,discovered,12247.923490,2700,0.968089
labor shortages,discovered,12239.807270,3858,0.703373
refining margins,discovered,12230.843990,3858,0.702860
remain challenging,discovered,12210.473529,4320,0.626905
china trade,discovered,12210.379086,2584,0.991558
closely monitor,discovered,12189.830979,4698,0.576159
higher oil,discovered,12184.175453,3921,0.688983
products solutions,discovered,12174.066066,5022,0.539420
market remains,discovered,12165.445214,6847,0.407269
safe reliable,discovered,12133.964995,3385,0.792926
believe long,discovered,12126.449560,6211,0.441781
high quality,discovered,12108.964763,26421,0.182699
technology innovation,discovered,12082.283448,4366,0.613892
state owned,discovered,12080.069067,3274,0.815036
market supply,discovered,12070.039171,3187,0.835168
defense spending,discovered,12048.637378,2876,0.912437
seeing increased,discovered,12000.625104,6551,0.417980
term trend,discovered,11980.776961,5554,0.483335
european markets,discovered,11980.350823,7334,0.379961
macroeconomic uncertainty,discovered,11980.085864,3080,0.855793
expected continue,discovered,11947.400090,7938,0.356124
high rates,discovered,11899.823042,5090,0.521089
infrastructure investments,discovered,11899.595929,4366,0.604709
public cloud,discovered,11878.415426,5117,0.517601
continue experience,discovered,11876.493342,6927,0.395309
states canada,discovered,11867.615205,3647,0.721321
technologies like,discovered,11863.199973,3297,0.795800
going world,discovered,11811.659667,3517,0.744181
infrastructure market,discovered,11745.691442,3145,0.824377
fast growing,discovered,11745.402462,8231,0.341933
related supply,discovered,11745.279646,2928,0.879543
challenges facing,discovered,11741.934899,4210,0.618663
market remain,discovered,11740.380037,4019,0.647808
impact operations,discovered,11721.251768,3565,0.728741
inflation rates,discovered,11719.178898,3526,0.736578
term fundamentals,discovered,11692.033121,3121,0.826755
base oil,discovered,11688.689771,3257,0.793809
overall economic,discovered,11674.579552,4431,0.584873
leading edge,discovered,11667.644960,7279,0.374222
infrastructure investment,discovered,11659.352777,3896,0.663601
demand europe,discovered,11647.341088,3572,0.722784
mitigate impact,discovered,11582.801033,5458,0.476141
water supply,discovered,11572.405059,2724,0.922764
material cost,discovered,11571.024740,9225,0.311382
important area,discovered,11569.139034,3865,0.663747
lower production,discovered,11547.761334,6443,0.410278
places like,discovered,11456.146767,7112,0.375700
markets north,discovered,11456.037636,3351,0.757288
global footprint,discovered,11412.741019,5869,0.440219
partner choice,discovered,11402.598935,3591,0.703980
market segments,discovered,11401.270501,8473,0.327396
industry supply,discovered,11391.513316,2747,0.904809
expected remain,discovered,11387.596817,6022,0.429591
inflation rate,discovered,11378.648729,3980,0.634061
met coal,discovered,11356.937450,4058,0.620774
selling prices,discovered,11356.088098,10464,0.282528
local governments,discovered,11355.456955,3355,0.749888
coal prices,discovered,11281.686615,4498,0.557442
gas distribution,discovered,11246.906434,3930,0.634690
market uncertainty,discovered,11243.672873,3267,0.762249
secular trends,discovered,11242.550171,3472,0.717800
growth demand,discovered,11212.189153,5070,0.494586
state art,discovered,11208.546692,8549,0.321306
higher inflation,discovered,11206.148246,3844,0.646485
given current,discovered,11193.380103,10414,0.280784
negative impacts,discovered,11185.006861,4354,0.570567
east coast,discovered,11177.365400,8154,0.331868
western canada,discovered,11150.894862,5601,0.449482
south korea,discovered,11120.666274,6202,0.410429
supply business,discovered,11116.826208,3102,0.792742
world class,discovered,11102.878430,12175,0.253963
advanced technology,discovered,11100.101767,4573,0.540097
demand expected,discovered,11073.528756,3511,0.699263
energy cost,discovered,11067.460972,4791,0.515217
recent months,discovered,11061.618269,7084,0.366515
prices higher,discovered,11054.239756,5725,0.437490
gold price,discovered,11035.223537,6225,0.406491
demand imbalance,discovered,11006.722266,2425,0.968450
greater china,discovered,11004.729547,4691,0.522791
production volumes,discovered,10994.124047,7540,0.347562
overall supply,discovered,10992.653845,2855,0.847936
despite ongoing,discovered,10980.462172,3748,0.649679
focus energy,discovered,10973.303889,2558,0.929844
demand energy,discovered,10920.381928,2475,0.949731
closely customers,discovered,10916.022031,3709,0.652648
oil companies,discovered,10909.360321,4661,0.521656
cloud infrastructure,discovered,10896.350194,3203,0.753647
potential risk,discovered,10885.825726,3371,0.715863
political situation,discovered,10848.593146,2586,0.913458
oil sands,discovered,10825.834722,5180,0.469543
significant role,discovered,10822.819622,3399,0.705919
supply base,discovered,10805.705303,4268,0.562541
low prices,discovered,10805.566747,4186,0.573268
battery storage,discovered,10793.360710,3105,0.769707
demand remained,discovered,10789.139055,3287,0.727534
demand north,discovered,10769.346455,2935,0.810773
fastest growing,discovered,10744.203725,9848,0.283494
demand driven,discovered,10737.332588,4229,0.564092
advanced materials,discovered,10718.714986,3895,0.610502
book ratio,discovered,10707.541188,5750,0.423916
challenging macroeconomic,discovered,10682.814855,3208,0.737980
material price,discovered,10679.253283,4954,0.483034
year supply,discovered,10667.924145,3309,0.714687
material supply,discovered,10665.707160,2618,0.891386
alternative energy,discovered,10624.417518,3168,0.743139
ai data,discovered,10621.193193,2907,0.807500
given supply,discovered,10609.300740,2682,0.868805
services including,discovered,10604.246284,4027,0.584555
19 crisis,discovered,10598.477896,3172,0.740430
given recent,discovered,10598.427768,5462,0.439385
closely monitoring,discovered,10597.096360,4340,0.543179
energy price,discovered,10586.860250,2791,0.836380
political environment,discovered,10578.280347,2786,0.837139
supply contract,discovered,10546.720076,2409,0.944336
infrastructure services,discovered,10545.190751,3324,0.703343
especially china,discovered,10538.558241,3443,0.678691
prices raw,discovered,10530.708919,2906,0.801213
significant market,discovered,10516.745496,6181,0.392819
lithium ion,discovered,10487.162577,3820,0.609056
green hydrogen,discovered,10482.347662,3768,0.617098
macro trends,discovered,10466.608791,3823,0.607404
situation china,discovered,10457.283455,2554,0.895198
high oil,discovered,10409.429624,2620,0.872170
product supply,discovered,10402.646134,3039,0.758234
countries world,discovered,10398.102849,4195,0.551104
demand oil,discovered,10384.943311,2348,0.951378
gas infrastructure,discovered,10378.451298,2435,0.925152
high power,discovered,10354.433961,4136,0.556438
american markets,discovered,10353.715399,3386,0.678014
expect demand,discovered,10347.787024,4593,0.503232
prices increasing,discovered,10344.738047,3031,0.756049
growth markets,discovered,10337.773221,9421,0.284554
risk profile,discovered,10332.339264,7556,0.331273
robust demand,discovered,10301.267179,4517,0.509015
industry wide,discovered,10296.490953,6651,0.364039
machine learning,discovered,10293.809110,6273,0.381361
network security,discovered,10288.796433,2676,0.846835
deliver customers,discovered,10275.239584,4009,0.569298
impacts covid,discovered,10269.161219,3655,0.623188
balance supply,discovered,10250.887450,2442,0.913922
task force,discovered,10248.985266,3444,0.659897
growing global,discovered,10245.795248,2860,0.792463
processing plant,discovered,10239.409107,3700,0.613904
british columbia,discovered,10207.623242,4067,0.557811
new opportunities,discovered,10180.129028,11401,0.250886
customers particularly,discovered,10155.142453,3459,0.651045
pure play,discovered,10151.170548,5156,0.445058
continue closely,discovered,10123.568696,3514,0.638909
electric power,discovered,10111.568520,3644,0.615541
customers needs,discovered,10085.107477,5437,0.422488
tanker market,discovered,10074.394023,2973,0.750758
air quality,discovered,10073.703620,2917,0.764814
supply issue,discovered,10047.351935,2494,0.882832
